,commodity,num of obs
999,From combustible fuels – Main activity,1623
996,From combustible fuels – Autoproducer,1365
1000,From combustible fuels – Main activity – CHP plants,1301
997,From combustible fuels – Autoproducer – CHP plants,1150
2195,"Electricity - Own use by electricity, heat and CHP plants",917
2183,Electricity - Final energy consumption,917
2184,Electricity - Gross demand,917
2185,Electricity - Gross production,917
2188,Electricity - net production,917
2167,Electricity - Consumption by other,917
2203,"Electricity - total production, main activity",917
2154,Electricity - total thermal production,917
666,"Electricity - total net installed capacity of electric power plants, main activity & autoproducer",916
662,"Electricity - total net installed capacity of electric power plants, combustible fuels",916
647,"Electricity - net installed capacity of electric power plants, public combustible fuels",916
665,"Electricity - total net installed capacity of electric power plants, main activity",916
1243,Liquified Petroleum Gas (LPG) - Final energy consumption,910
846,Gas Oil/ Diesel Oil - Imports,910
740,Fuel oil - Total energy supply,910
2168,"Electricity - Consumption by other manuf., const. and non-fuel ind.",910
1223,Liquefied petroleum gas (LPG) - Total energy supply,910
863,Gas Oil/ Diesel Oil - Total energy supply,910
2163,"Electricity - Consumption by manufacturing, construction and non-fuel industry",910
1322,Motor Gasoline - Total energy supply,910
1197,Liquefied petroleum gas (LPG) - Consumption by other,910
1207,Liquefied petroleum gas (LPG) - Final consumption,910
2187,Electricity - Losses,910
845,Gas Oil/ Diesel Oil - Final energy consumption,909
844,Gas Oil/ Diesel Oil - Final consumption,909
832,Gas Oil/ Diesel Oil - Consumption by transport,909
1304,Motor Gasoline - Final consumption,908
1306,Motor Gasoline - Imports,908
1305,Motor Gasoline - Final energy consumption,908
2160,Electricity - Consumption by households,906
1297,Motor Gasoline - Consumption by transport,906
1301,Motor Gasoline - Consumption in road,906
725,Fuel oil - Imports,904
838,Gas Oil/ Diesel Oil - Consumption in road,901
862,Gas Oil/ Diesel Oil - Stock changes,899
1321,Motor Gasoline - Stock changes,898
240,Bitumen - Total energy supply,897
234,Bitumen - Non-energy uses,894
230,Bitumen - Final consumption,894
979,Hard coal - total energy supply,892
823,"Gas Oil/ Diesel Oil - Consumption by manufacturing, construction and non-fuel mining industry",892
828,"Gas Oil/ Diesel Oil - Consumption by other manuf., const. and non-fuel min. ind.",892
723,Fuel oil - Final consumption,891
724,Fuel oil - Final energy consumption,891
703,"Fuel oil - Consumption by manufacturing, construction and non-fuel industry",891
1134,Kerosene-type Jet Fuel - Total energy supply,890
1271,Lubricants - Total energy supply,889
866,Gas Oil/ Diesel Oil - Transformation,888
1262,Lubricants - Non-energy uses,888
1257,Lubricants - Final consumption,888
964,Hard coal - final consumption,887
965,Hard coal - final energy consumption,887
2156,Electricity - Consumption by chemical and petrochemical,887
1208,Liquefied petroleum gas (LPG) - Imports,885
1126,Kerosene-type Jet Fuel - International aviation bunkers,884
708,"Fuel oil - Consumption by other manuf., const. and non-fuel ind.",884
654,"Electricity - net installed capacity of electric power plants, self-producer combustible fuels",882
661,"Electricity - total net installed capacity of electric power plants, autoproducer",882
827,Gas Oil/ Diesel Oil - Consumption by other,880
944,"Hard coal - consumption by manufacturing, construction and non-fuel mining industry",878
950,"Hard coal - consumption by other manuf., const. and non-fuel ind.",875
966,Hard coal - imports,873
739,Fuel oil - Stock changes,873
2202,"Electricity - total production, autoproducer",872
789,Fuelwood - Total energy supply,871
1064,Electricity - total hydro production,871
649,"Electricity - net installed capacity of electric power plants, public hydro",870
664,"Electricity - total net installed capacity of electric power plants, hydro",870
1194,Liquefied petroleum gas (LPG) - Consumption by households,869
2219,Hydro – Main activity,868
870,"Gas Oil/ Diesel Oil - Transformation in electricity, CHP and heat plants",867
787,Fuelwood - Production,861
1125,Kerosene-type Jet Fuel - Imports,859
742,Fuel oil - Transformation,859
1259,Lubricants - Imports,857
2161,Electricity - Consumption by iron and steel,856
1196,"Liquefied petroleum gas (LPG) - consumption by manufacturing, construction and non-fuel mining industry",852
2157,Electricity - Consumption by commercial and public services,850
2174,Electricity - Consumption by transport,849
1133,Kerosene-type Jet Fuel - Stock changes,843
1454,Natural gas (including LNG) - total energy supply,842
779,Fuelwood - Final energy consumption,841
778,Fuelwood - Final consumption,841
765,Fuelwood - Consumption by other,840
835,"Gas Oil/ Diesel Oil - Consumption in agriculture, forestry and fishing",837
747,"Fuel oil - Transformation in electricity, CHP and heat plants",833
1432,Natural gas (including LNG) - final consumption,833
1456,Natural gas (including LNG) - transformation,833
843,Gas Oil/ Diesel Oil - Exports,832
978,Hard coal - stock changes,832
1461,"Natural gas (including LNG) - transformation in electricity, CHP and heat plants",832
2177,"Electricity - Consumption in agriculture, forestry and fishing",831
1199,"Liquefied petroleum gas (LPG) - consumption by other manuf., const. and non-fuel min. ind.",830
1433,Natural Gas (including LNG) - final energy consumption,828
232,Bitumen - Imports,826
2181,Electricity - Energy industries own use,826
1417,Natural gas (including LNG) - consumption by other,826
758,Fuelwood - Consumption by households,823
1418,"Natural gas (including LNG) - consumption by other manuf., const. and non-fuel ind.",821
1413,"Natural gas (including LNG) - consumption by manufacturing, construction and non-fuel industry",821
722,Fuel oil - Exports,818
1222,Liquefied petroleum gas (LPG) - Stock changes,815
707,Fuel oil - Consumption by other,813
1303,Motor Gasoline - Exports,812
837,Gas Oil/ Diesel Oil - Consumption in rail,811
1409,Natural gas (including LNG) - consumption by households,809
1404,Natural gas (including LNG) - consumption by chemical and petrochemical,801
1709,Other kerosene - Total energy supply,794
2178,Electricity - Consumption not elsewhere specified (industry),792
2171,Electricity - Consumption by rail,789
593,Crude petroleum - refinery capacity,788
2166,Electricity - Consumption by non-metallic minerals,784
581,Conventional crude oil - total energy supply,784
1639,Other bituminous coal - total energy supply,782
571,Conventional crude oil - imports,778
1411,Natural gas (including LNG) - consumption by iron and steel,776
589,Conventional crude oil - transformation in oil refineries,775
583,Conventional crude oil - transformation,775
2186,Electricity - imports,775
859,Gas Oil/ Diesel Oil - Production,775
738,Fuel oil - production from refineries,775
1319,Motor Gasoline - production from refineries,775
860,Gas Oil/ Diesel Oil - production from refineries,775
737,Fuel oil - Production,775
2235,Total refinery throughput,775
1317,Motor Gasoline - Production,775
2234,Total refinery output,775
