country_or_area,year,Biogases - Final energy consumption,Direct use of geothermal heat - Final energy consumption,Electricity - Gross demand,Electricity - Gross production,Electricity - total hydro production,Electricity - total nuclear production,Electricity - total solar production,Electricity - total wind production,Gas Oil/ Diesel Oil - Final energy consumption,Hard coal - final energy consumption,Heat - Final energy consumption,Liquified Petroleum Gas (LPG) - Final energy consumption,Motor Gasoline - Final energy consumption,Natural Gas (including LNG) - final energy consumption,Petroleum Coke - Final energy consumption,value
Australia,1991,,,146470.0,156818.0,16103.0,,,,7463.0,2631.0,,1039.0,12389.0,391025.0,,418674.057493862
Australia,1992,,,148523.0,159545.0,15768.0,,,,7651.0,2617.0,,1233.0,12451.0,399910.0,,423080.108191254
Australia,1993,,,152606.0,163650.0,16953.0,,11.0,,7923.0,2491.0,,1365.0,12552.0,410311.0,,423764.932564252
Australia,1994,,,156615.0,167463.0,16649.0,,13.0,4.0,8188.0,2602.0,,1507.0,12776.0,428827.0,,424092.95937256
Australia,1995,,,161732.0,173159.0,16239.0,,16.0,7.0,8447.0,2423.0,,1714.0,12957.0,450273.0,,433478.650825855
Australia,1996,,,165963.0,177598.0,15731.0,,19.0,7.0,9053.0,2197.0,,1856.0,13054.0,458147.0,,439803.962228252
Australia,1997,,,171242.0,182939.0,16852.0,,23.0,7.0,9491.0,2327.0,,1895.0,13069.0,464465.0,,451721.717814666
Australia,1998,,,182365.0,195369.0,15733.0,,28.0,8.0,9660.0,2216.0,,1971.0,13102.0,481170.0,,466382.112471814
Australia,1999,,,189494.0,203987.0,16563.0,,34.0,28.0,10015.0,2209.0,,2021.0,13306.0,489648.0,,472245.9907776
Australia,2000,,,194832.0,210224.0,16720.0,,38.0,58.0,10356.0,2255.0,,2082.0,13618.0,513977.0,,483445.826664823
Australia,2001,,,206186.0,224635.0,16933.0,,44.0,210.0,10449.0,2166.0,,2111.0,13023.0,543131.0,,491441.695937142
Australia,2002,,,212804.0,227555.0,16054.0,,50.0,364.0,10857.0,1515.0,,1746.0,13760.0,533443.0,,494740.100776734
Australia,2003,290.0,,208306.0,222121.0,16490.0,,59.0,703.0,11339.0,1964.0,,1807.0,13896.0,553550.0,1.0,495154.085966803
Australia,2004,349.0,,215609.0,229784.0,16331.0,,69.0,705.0,11687.0,2056.0,,1810.0,14694.0,562942.0,1.0,511710.242020824
Australia,2005,679.0,,214012.0,228650.0,15612.0,,79.0,885.0,12367.0,2016.0,,1692.0,14242.0,541271.0,0.0,518850.759462375
Australia,2006,854.0,,218215.0,232830.0,16029.0,,91.0,1713.0,12360.0,1948.0,,2057.0,13947.0,541447.0,0.0,522517.191663285
Australia,2007,870.0,,226764.0,243157.0,14517.0,,109.0,2611.0,13266.0,1987.0,,1776.0,14135.0,563868.0,0.0,529842.870342484
Australia,2008,928.0,,227821.0,243221.0,12057.0,,127.0,3093.0,14021.0,2037.0,,1709.0,14071.0,563656.0,1.0,533693.508207377
Australia,2009,883.0,,232028.0,248754.0,11869.0,,160.0,3824.0,13963.0,1954.0,,1479.0,14188.0,547423.0,0.0,537889.892623617
Australia,2010,1003.0,,237339.0,252698.0,13549.0,,426.0,5052.0,14696.0,1669.0,,1704.0,14162.0,551439.0,0.0,533917.43629539
Australia,2011,952.0,,240790.0,253958.0,16807.0,,1530.0,6085.0,15455.0,1613.0,,1694.0,14390.0,555829.0,0.0,534089.798684709
Australia,2012,1649.0,,236716.0,251165.0,14083.0,,2559.0,6970.0,16356.0,1520.0,,1692.0,14133.0,558960.0,,537377.571452805
Australia,2013,2249.0,,235703.0,249720.0,18270.0,,3826.0,7960.0,17268.0,1509.0,,1670.0,14095.0,579331.0,,526882.667266593
Austria,1991,,151.0,48793.0,51483.0,32745.0,,,,3842.0,425.0,30499.0,153.0,2791.0,134280.0,30.0,82636.9034660686
Austria,1992,,151.0,48197.0,51190.0,36099.0,,,,3858.0,410.0,29380.0,158.0,2677.0,139598.0,27.0,75930.9957651566
Austria,1993,77.0,117.0,49073.0,52421.0,37756.0,,1.0,,4193.0,418.0,32911.0,165.0,2570.0,142272.0,23.0,75988.2270431512
Austria,1994,88.0,118.0,49596.0,53132.0,36729.0,,1.0,,4226.0,365.0,31885.0,172.0,2481.0,140583.0,12.0,76503.4852878471
Austria,1995,49.0,141.0,50979.0,56225.0,38114.0,,1.0,1.0,4518.0,401.0,35515.0,164.0,2393.0,159064.0,13.0,79813.0345359956
Austria,1996,36.0,178.0,52515.0,54880.0,35522.0,,1.0,5.0,5517.0,462.0,45030.0,150.0,2220.0,171356.0,10.0,83008.8063000899
Austria,1997,5.0,183.0,53069.0,56704.0,37124.0,,2.0,20.0,5276.0,521.0,40479.0,131.0,2105.0,172088.0,15.0,82474.3920310851
Austria,1998,7.0,245.0,54039.0,57001.0,38254.0,,2.0,45.0,5813.0,494.0,42213.0,144.0,2204.0,175781.0,20.0,81770.8395563128
Austria,1999,458.0,189.0,55167.0,60944.0,41727.0,,2.0,51.0,5729.0,391.0,43264.0,145.0,2055.0,180349.0,35.0,80106.7171759132
Austria,2000,504.0,206.0,55750.0,61257.0,43219.0,,3.0,67.0,5964.0,391.0,42698.0,151.0,1981.0,184058.0,24.0,80429.3433929845
Austria,2001,392.0,190.0,58338.0,62449.0,41837.0,,5.0,105.0,6461.0,363.0,45654.0,143.0,1990.0,208079.0,20.0,84380.8068854374
Austria,2002,329.0,310.0,58074.0,62499.0,42020.0,,9.0,140.0,6912.0,322.0,45224.0,166.0,2145.0,200842.0,66.0,86129.5464386255
Austria,2003,318.0,240.0,60058.0,60174.0,35292.0,,15.0,372.0,7564.0,279.0,48382.0,176.0,2196.0,211420.0,68.0,92018.4811411606
Austria,2004,358.0,240.0,61320.0,64151.0,38966.0,,18.0,934.0,7706.0,275.0,51723.0,174.0,2160.0,216685.0,99.0,91835.8942410282
Austria,2005,793.0,270.0,62865.0,66409.0,39020.0,,21.0,1331.0,8170.0,264.0,56645.0,171.0,2078.0,215864.0,65.0,92810.4871969534
Austria,2006,583.0,263.0,65595.0,64499.0,38238.0,,22.0,1752.0,7815.0,341.0,55671.0,179.0,2008.0,213799.0,43.0,89981.0212829735
Austria,2007,705.0,237.0,66706.0,64757.0,39248.0,,24.0,2037.0,7740.0,309.0,55993.0,159.0,1965.0,203955.0,36.0,87241.1545305627
Austria,2008,671.0,254.0,66144.0,66877.0,40690.0,,30.0,2011.0,7738.0,254.0,62689.0,151.0,1836.0,211305.0,40.0,87101.134677129
Austria,2009,664.0,281.0,63266.0,69088.0,43669.0,,49.0,1954.0,7415.0,214.0,64350.0,143.0,1846.0,199925.0,32.0,80190.6514378182
Austria,2010,668.0,321.0,65906.0,71128.0,41558.0,,89.0,2064.0,7647.0,178.0,77127.0,160.0,1825.0,216139.0,47.0,84946.0197097698
Austria,2011,1071.0,278.0,65836.0,65813.0,37782.0,,174.0,1936.0,7321.0,171.0,72864.0,137.0,1761.0,205460.0,62.0,82626.6380188969
Austria,2012,1574.0,346.0,66788.0,72617.0,47705.0,,337.0,2462.0,7298.0,175.0,77207.0,121.0,1734.0,203798.0,53.0,79897.1151021792
Austria,2013,1598.0,329.0,66757.0,68277.0,45777.0,,582.0,3152.0,7652.0,174.0,79891.0,99.0,1670.0,212237.0,52.0,80042.5418408096
Belarus,1992,,,41044.0,37595.0,17.0,,,,2725.0,1112.0,387440.0,339.0,332.0,113155.0,,116588.686464578
Belarus,1993,,,36602.0,33369.0,19.0,,,,2890.0,1181.0,357133.0,334.0,43.0,105135.0,,103951.525256019
Belarus,1994,,,32702.0,31397.0,19.0,,,,,868.0,292650.0,357.0,,86564.0,,88206.3567402
Belarus,1995,,,29847.0,24918.0,20.0,,,,1746.0,807.0,258369.0,340.0,,82745.0,,80369.782345399
Belarus,1996,,,30101.0,23728.0,16.0,,,,1860.0,778.0,291625.0,314.0,1279.0,91100.0,,82375.194219344
Belarus,1997,,,31479.0,26057.0,21.0,,,,1847.0,221.0,297082.0,309.0,1231.0,98374.0,,86282.505937182
Belarus,1998,,,32095.0,23492.0,28.0,,,,1924.0,239.0,288432.0,284.0,1269.0,105888.0,,82668.831561971
Belarus,1999,,,31564.0,26516.0,19.0,,,0.0,1813.0,165.0,276889.0,266.0,1127.0,109665.0,,79497.84205671
Belarus,2000,,,31194.0,26095.0,20.0,,,0.0,1751.0,193.0,243023.0,278.0,987.0,106697.0,,77959.724959323
Belarus,2001,,,31195.0,25042.0,30.0,,,0.0,1649.0,147.0,257126.0,249.0,884.0,108316.0,,77921.8275915
Belarus,2002,,,30864.0,26455.0,28.0,,,0.0,1591.0,115.0,240139.0,222.0,878.0,113624.0,,76683.86788515
Belarus,2003,,,31311.0,26627.0,28.0,,,0.0,1736.0,99.0,252527.0,221.0,960.0,122393.0,,79158.718822027
Belarus,2004,,,32141.0,31210.0,33.0,,,1.0,1804.0,78.0,247622.0,226.0,965.0,129259.0,,83688.299567336
Belarus,2005,,,32712.0,30961.0,36.0,,,1.0,2043.0,63.0,246583.0,224.0,1033.0,132452.0,,85596.098699522
Belarus,2006,,,33796.0,31811.0,35.0,,,1.0,2324.0,57.0,247321.0,234.0,1121.0,138464.0,,89449.655446278
Belarus,2007,0.0,,33923.0,31829.0,35.0,,,1.0,2367.0,40.0,229602.0,254.0,1094.0,147532.0,,88920.641948088
Belarus,2008,1.0,,34619.0,35048.0,39.0,,,1.0,2765.0,31.0,218110.0,268.0,1137.0,154153.0,,92364.348971776
Belarus,2009,1.0,,32717.0,30376.0,44.0,,,1.0,2600.0,34.0,218205.0,234.0,1094.0,149419.0,,89223.65625899
Belarus,2010,12.0,,35331.0,34895.0,45.0,,,1.0,2763.0,30.0,232835.0,221.0,1109.0,160358.0,,91183.549358156
Belarus,2011,12.0,,35565.0,32200.0,42.0,,,1.0,3088.0,50.0,216590.0,227.0,1074.0,157385.0,,91671.727009572
Belarus,2012,37.0,,36197.0,30799.0,70.0,,,6.0,3159.0,316.0,224471.0,215.0,1087.0,163954.0,,90925.114581937
Belarus,2013,44.0,,35688.0,31507.0,138.0,,,8.0,3309.0,508.0,219683.0,191.0,1121.0,164579.0,,93037.24544666
Belgium,1991,243.0,,65288.0,71936.0,979.0,42861.0,,8.0,8978.0,1741.0,9763.0,317.0,2738.0,313496.0,193.0,148825.699408439
Belgium,1992,210.0,,67408.0,72225.0,1156.0,43456.0,,9.0,9145.0,1499.0,9597.0,385.0,2903.0,315514.0,224.0,148384.726816956
Belgium,1993,199.0,,68317.0,70834.0,1020.0,41927.0,,8.0,9119.0,1403.0,9157.0,355.0,2839.0,332114.0,180.0,147393.394631085
Belgium,1994,352.0,,71392.0,72179.0,1184.0,40624.0,,9.0,9408.0,1450.0,9037.0,344.0,2839.0,338838.0,164.0,151882.372526596
